"name_tbl","name_fld","format_4_05","format_4_06","is_active_format_4_06"
,,,﻿Файл^@ИдФайл,true
,,,Файл^@ВерсФорм,true
,,,Файл^@ТипИнф,true
,,,Файл^@ВерсПрог,true
,,,Файл^@КолДок,true
,,,Файл^ИдОтпр^@ДолжОтв,true
,,,Файл^ИдОтпр^@Тлф,true
,,,Файл^ИдОтпр^@E-mail,true
,,,Файл^ИдОтпр^ФИООтв^@Фамилия,true
,,,Файл^ИдОтпр^ФИООтв^@Имя,true
,,,Файл^ИдОтпр^ФИООтв^@Отчество,true
,,,Файл^Документ^@ИдДок,true
,,,Файл^Документ^СвИП^@ДатаВып,true
s_individual_entrepreneur_okveds_info,svokved_svokvedosn_grnipdata_grnip,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_citizenship_info,svgrajd_grnipdata_grnip,,Файл^Документ^СвИП^СвГражд^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_egrip_history,svzapegrip_svstatuszap_grnipdataned_grnip,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСтатусЗап^ГРНИПДатаНед^@ГРНИП,true
s_individual_entrepreneur_individual_info,svfl_grnipdata_grnip,,Файл^Документ^СвИП^СвФЛ^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_email_info,svadrelpocty_email,,Файл^Документ^СвИП^СвАдрЭлПочты^@E-mail,true
s_individual_entrepreneur_email_info,svadrelpocty_grnipdata_grnip,,Файл^Документ^СвИП^СвАдрЭлПочты^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_individual_info,svfl_pol,,Файл^Документ^СвИП^СвФЛ^@Пол,true
s_individual_entrepreneur_citizenship_info,hash_diff,,hash_func,true
s_individual_entrepreneur_is_liquidated_info,hash_diff,,hash_func,true
,,,Файл^Документ^СвИП^СвФЛ^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвФЛ^ГРНИПДатаИспр^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвФИОЗАГС^@Фамилия,true
,,,Файл^Документ^СвИП^СвФИОЗАГС^@Имя,true
,,,Файл^Документ^СвИП^СвФИОЗАГС^@Отчество,true
